Datum;Tag;Monat;Stunde;Verbrauch
13.01. 21:00;13;01;21;0,17239
13.01. 22:00;13;01;22;0,11673
13.01. 23:00;13;01;23;0,075125
14.01. 00:00;14;01;00;0,063716
14.01. 01:00;14;01;01;0,039619
14.01. 02:00;14;01;02;0,033074
14.01. 03:00;14;01;03;0,031595
14.01. 04:00;14;01;04;0,031444
14.01. 05:00;14;01;05;0,028511
14.01. 06:00;14;01;06;0,062813
14.01. 07:00;14;01;07;0,082071
14.01. 08:00;14;01;08;0,088641
14.01. 09:00;14;01;09;0,11966
14.01. 10:00;14;01;10;0,16066
14.01. 11:00;14;01;11;0,16958
14.01. 12:00;14;01;12;0,15742
14.01. 13:00;14;01;13;0,15386
14.01. 14:00;14;01;14;0,15973
14.01. 15:00;14;01;15;0,18393
14.01. 16:00;14;01;16;0,20344
14.01. 17:00;14;01;17;0,23287
14.01. 18:00;14;01;18;0,25103
14.01. 19:00;14;01;19;0,24754
14.01. 20:00;14;01;20;0,2418
14.01. 21:00;14;01;21;0,21249
14.01. 22:00;14;01;22;0,15807
14.01. 23:00;14;01;23;0,10544
15.01. 00:00;15;01;00;0,063716
15.01. 01:00;15;01;01;0,039619
15.01. 02:00;15;01;02;0,033074
15.01. 03:00;15;01;03;0,031595
15.01. 04:00;15;01;04;0,031444
15.01. 05:00;15;01;05;0,028511
15.01. 06:00;15;01;06;0,062813
15.01. 07:00;15;01;07;0,082071
15.01. 08:00;15;01;08;0,088641
15.01. 09:00;15;01;09;0,11966
15.01. 10:00;15;01;10;0,16066
15.01. 11:00;15;01;11;0,16958
15.01. 12:00;15;01;12;0,15742
15.01. 13:00;15;01;13;0,15386
15.01. 14:00;15;01;14;0,15973
15.01. 15:00;15;01;15;0,18393
15.01. 16:00;15;01;16;0,20344
15.01. 17:00;15;01;17;0,23287
15.01. 18:00;15;01;18;0,25103
15.01. 19:00;15;01;19;0,24754
15.01. 20:00;15;01;20;0,2418
15.01. 21:00;15;01;21;0,21249
15.01. 22:00;15;01;22;0,15807
15.01. 23:00;15;01;23;0,10544
16.01. 00:00;16;01;00;0,063716
16.01. 01:00;16;01;01;0,039619
16.01. 02:00;16;01;02;0,033074
16.01. 03:00;16;01;03;0,031595
16.01. 04:00;16;01;04;0,031444
16.01. 05:00;16;01;05;0,028511
16.01. 06:00;16;01;06;0,062813
16.01. 07:00;16;01;07;0,082071
16.01. 08:00;16;01;08;0,088641
16.01. 09:00;16;01;09;0,11966
16.01. 10:00;16;01;10;0,16066
16.01. 11:00;16;01;11;0,16958
16.01. 12:00;16;01;12;0,15742
16.01. 13:00;16;01;13;0,15386
16.01. 14:00;16;01;14;0,15973
16.01. 15:00;16;01;15;0,18393
16.01. 16:00;16;01;16;0,20344
16.01. 17:00;16;01;17;0,23287
16.01. 18:00;16;01;18;0,25103
16.01. 19:00;16;01;19;0,24754
16.01. 20:00;16;01;20;0,2418
16.01. 21:00;16;01;21;0,21249
16.01. 22:00;16;01;22;0,15807
16.01. 23:00;16;01;23;0,10544
17.01. 00:00;17;01;00;0,063716
17.01. 01:00;17;01;01;0,039619
17.01. 02:00;17;01;02;0,033074
17.01. 03:00;17;01;03;0,031595
17.01. 04:00;17;01;04;0,031444
17.01. 05:00;17;01;05;0,028511
17.01. 06:00;17;01;06;0,062813
17.01. 07:00;17;01;07;0,082071
17.01. 08:00;17;01;08;0,088641
17.01. 09:00;17;01;09;0,11966
17.01. 10:00;17;01;10;0,16066
17.01. 11:00;17;01;11;0,16958
17.01. 12:00;17;01;12;0,15742
17.01. 13:00;17;01;13;0,15386
17.01. 14:00;17;01;14;0,15973
17.01. 15:00;17;01;15;0,18393
17.01. 16:00;17;01;16;0,20344
17.01. 17:00;17;01;17;0,23287
17.01. 18:00;17;01;18;0,25103
17.01. 19:00;17;01;19;0,24754
17.01. 20:00;17;01;20;0,2418
17.01. 21:00;17;01;21;0,21249
17.01. 22:00;17;01;22;0,15807
17.01. 23:00;17;01;23;0,10544
18.01. 00:00;18;01;00;0,063716
18.01. 01:00;18;01;01;0,039619
18.01. 02:00;18;01;02;0,033074
18.01. 03:00;18;01;03;0,031595
18.01. 04:00;18;01;04;0,031444
18.01. 05:00;18;01;05;0,028511
18.01. 06:00;18;01;06;0,062813
18.01. 07:00;18;01;07;0,082071
18.01. 08:00;18;01;08;0,088641
18.01. 09:00;18;01;09;0,11966
18.01. 10:00;18;01;10;0,16066
18.01. 11:00;18;01;11;0,16958
18.01. 12:00;18;01;12;0,15742
18.01. 13:00;18;01;13;0,15386
18.01. 14:00;18;01;14;0,15973
18.01. 15:00;18;01;15;0,18393
18.01. 16:00;18;01;16;0,20344
18.01. 17:00;18;01;17;0,23287
18.01. 18:00;18;01;18;0,25103
18.01. 19:00;18;01;19;0,24754
18.01. 20:00;18;01;20;0,2418
18.01. 21:00;18;01;21;0,21249
18.01. 22:00;18;01;22;0,15807
18.01. 23:00;18;01;23;0,10544
19.01. 00:00;19;01;00;0,072217
19.01. 01:00;19;01;01;0,047818
19.01. 02:00;19;01;02;0,034453
19.01. 03:00;19;01;03;0,031971
19.01. 04:00;19;01;04;0,031344
19.01. 05:00;19;01;05;0,028561
